tic_id,file,class,confidence,snr,period,depth_pct
350839859,tess2018206045859-s0001-0000000350839859-0120-s_lc.fits,Planet Transit,99.1,0.76,3.0693,0.0327
350842552,tess2018206045859-s0001-0000000350842552-0120-s_lc.fits,Planet Transit,84.3,0.18,23.5288,0.0524
381922972,tess2018206045859-s0001-0000000381922972-0120-s_lc.fits,Planet Transit,98.2,0.48,3.43423,0.0349
381950507,tess2018206045859-s0001-0000000381950507-0120-s_lc.fits,Planet Transit,82.6,1.77,9.18401,0.1155
382184098,tess2018206045859-s0001-0000000382184098-0120-s_lc.fits,Planet Transit,96.9,5.18,22.70995,0.1891
382303117,tess2018206045859-s0001-0000000382303117-0120-s_lc.fits,Eclipsing Binary,96.6,0.11,6.78975,5.1096
382315106,tess2018206045859-s0001-0000000382315106-0120-s_lc.fits,Eclipsing Binary,95.8,0.91,9.69431,4.029
382422180,tess2018206045859-s0001-0000000382422180-0120-s_lc.fits,Planet Transit,89.6,4.38,21.90593,0.0627
391902278,tess2018206045859-s0001-0000000391902278-0120-s_lc.fits,Planet Transit,97.4,2.3,24.05097,0.1735
391950805,tess2018206045859-s0001-0000000391950805-0120-s_lc.fits,Planet Transit,72.0,0.45,11.42696,0.1673
392793431,tess2018206045859-s0001-0000000392793431-0120-s_lc.fits,Planet Transit,72.2,0.13,0.88273,0.0185
393411364,tess2018206045859-s0001-0000000393411364-0120-s_lc.fits,Planet Transit,73.2,0.34,2.88239,0.0561
394231412,tess2018206045859-s0001-0000000394231412-0120-s_lc.fits,Planet Transit,81.2,-0.08,11.70288,0.1021
394558419,tess2018206045859-s0001-0000000394558419-0120-s_lc.fits,Planet Transit,98.8,0.61,10.4924,0.0373
394580650,tess2018206045859-s0001-0000000394580650-0120-s_lc.fits,Planet Transit,85.5,0.27,1.35149,0.0378
394583163,tess2018206045859-s0001-0000000394583163-0120-s_lc.fits,Planet Transit,98.5,0.47,22.22338,0.0711
394583252,tess2018206045859-s0001-0000000394583252-0120-s_lc.fits,Planet Transit,96.0,1.01,21.09894,0.0885
394632679,tess2018206045859-s0001-0000000394632679-0120-s_lc.fits,Other/Noise,74.5,0.47,9.55487,0.1382
394681742,tess2018206045859-s0001-0000000394681742-0120-s_lc.fits,Planet Transit,98.6,0.35,4.32132,0.0494
394700247,tess2018206045859-s0001-0000000394700247-0120-s_lc.fits,Other/Noise,81.1,1.52,9.71211,0.7767
403289096,tess2018206045859-s0001-0000000403289096-0120-s_lc.fits,Eclipsing Binary,97.6,0.35,7.20215,6.0503
403318050,tess2018206045859-s0001-0000000403318050-0120-s_lc.fits,Planet Transit,89.5,1.56,9.40653,0.4086
404797151,tess2018206045859-s0001-0000000404797151-0120-s_lc.fits,Planet Transit,50.3,1.67,24.39216,0.4207
406346772,tess2018206045859-s0001-0000000406346772-0120-s_lc.fits,Planet Transit,75.8,1.96,12.71161,0.1785
410086668,tess2018206045859-s0001-0000000410086668-0120-s_lc.fits,Eclipsing Binary,97.0,0.52,7.03897,3.7224
410211720,tess2018206045859-s0001-0000000410211720-0120-s_lc.fits,Planet Transit,82.3,0.0,22.84346,0.039
410463374,tess2018206045859-s0001-0000000410463374-0120-s_lc.fits,Planet Transit,98.5,0.19,13.29312,0.0585
425996885,tess2018206045859-s0001-0000000425996885-0120-s_lc.fits,Planet Transit,98.8,1.47,14.22471,0.0495
425997700,tess2018206045859-s0001-0000000425997700-0120-s_lc.fits,Planet Transit,73.9,0.43,2.06057,0.0269
